	Aniline	Aryl Halide	Ligand	Base	Additive	Product	One Hot Encoding	Number of Compounds	Reaction SMILES	Yield
10	Cc1ccc(cc1)N	Clc1cccnc1	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	Fc1cccc(c1c1ccno1)F	Cc1ccc(cc1)Nc1cccnc1	0 3 12 23 28 29	50	Fc1cccc(c1c1ccno1)F.Clc1cccnc1.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>Cc1ccc(cc1)Nc1cccnc1	0.0850474802999999
11	Cc1ccc(cc1)N	Clc1cccnc1	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	c1ccc(cc1)c1nocc1	Cc1ccc(cc1)Nc1cccnc1	0 3 18 23 28 30	50	c1ccc(cc1)c1nocc1.CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.Clc1cccnc1.Cc1ccc(cc1)N.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>Cc1ccc(cc1)Nc1cccnc1	0.18412337
12	Cc1ccc(cc1)N	CCc1ccc(cc1)Cl	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C	CN(C(=NC(C)(C)C)N(C)C)C	COC(=O)c1noc(c1)c1cccs1	CCc1ccc(cc1)Nc1ccc(cc1)C	0 9 10 19 31 32	50	CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.Cc1ccc(cc1)N.COC(=O)c1noc(c1)c1cccs1.CCc1ccc(cc1)Cl>>CCc1ccc(cc1)Nc1ccc(cc1)C	0.01036456102
13	Cc1ccc(cc1)N	CCc1ccc(cc1)Cl	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC	CN1CCCN2C1=NCCC2	Cc1noc(c1)c1ccccc1	CCc1ccc(cc1)Nc1ccc(cc1)C	0 10 12 13 31 33	50	CN1CCCN2C1=NCCC2.Cc1ccc(cc1)N.Cc1noc(c1)c1ccccc1.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC.CCc1ccc(cc1)Cl>>CCc1ccc(cc1)Nc1ccc(cc1)C	0.04961974313
14	Cc1ccc(cc1)N	Brc1ccccn1	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C	CN1CCCN2C1=NCCC2	c1ccc(cc1)CN(c1nocc1)Cc1ccccc1	Cc1ccc(cc1)Nc1ccccn1	0 5 6 9 13 34	50	c1ccc(cc1)CN(c1nocc1)Cc1ccccc1.CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.CN1CCCN2C1=NCCC2.Brc1ccccn1.Cc1ccc(cc1)N>>Cc1ccc(cc1)Nc1ccccn1	0.5541075315999999
15	Cc1ccc(cc1)N	Clc1cccnc1	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CN1CCCN2C1=NCCC2	COC(=O)c1noc(c1)c1ccco1	Cc1ccc(cc1)Nc1cccnc1	0 13 18 23 28 35	50	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.CN1CCCN2C1=NCCC2.Clc1cccnc1.Cc1ccc(cc1)N.COC(=O)c1noc(c1)c1ccco1>>Cc1ccc(cc1)Nc1cccnc1	0.0
16	Cc1ccc(cc1)N	Ic1cccnc1	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	CCOC(=O)c1cnoc1C	Cc1ccc(cc1)Nc1cccnc1	0 2 3 22 23 36	50	Ic1cccnc1.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C.CCOC(=O)c1cnoc1C>>Cc1ccc(cc1)Nc1cccnc1	0.1436942688
17	Cc1ccc(cc1)N	Clc1ccccn1	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CN(C(=NC(C)(C)C)N(C)C)C	c1ccc(cc1)CN(c1nocc1)Cc1ccccc1	Cc1ccc(cc1)Nc1ccccn1	0 1 5 18 19 34	50	c1ccc(cc1)CN(c1nocc1)Cc1ccccc1.CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.Clc1ccccn1.Cc1ccc(cc1)N>>Cc1ccc(cc1)Nc1ccccn1	0.6239976577
18	Cc1ccc(cc1)N	CCc1ccc(cc1)I	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CN1CCCN2C1=NCCC2	Cc1noc(c1)c1ccccc1	CCc1ccc(cc1)Nc1ccc(cc1)C	0 2 8 10 13 33	50	CN1CCCN2C1=NCCC2.Cc1ccc(cc1)N.Cc1noc(c1)c1ccccc1.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCc1ccc(cc1)I>>CCc1ccc(cc1)Nc1ccc(cc1)C	0.7308177999000001
19	Cc1ccc(cc1)N	COc1ccc(cc1)Br	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	CCOC(=O)c1onc(c1)OC	COc1ccc(cc1)Nc1ccc(cc1)C	0 2 3 17 37 38	50	Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.COc1ccc(cc1)Br.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C.CCOC(=O)c1onc(c1)OC>>COc1ccc(cc1)Nc1ccc(cc1)C	0.4252691913
20	Cc1ccc(cc1)N	Brc1ccccn1	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	c1ccc(cc1)CN(c1nocc1)Cc1ccccc1	Cc1ccc(cc1)Nc1ccccn1	0 3 5 6 18 34	50	c1ccc(cc1)CN(c1nocc1)Cc1ccccc1.CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.Brc1ccccn1.Cc1ccc(cc1)N.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>Cc1ccc(cc1)Nc1ccccn1	0.6457811697
21	Cc1ccc(cc1)N	FC(c1ccc(cc1)I)(F)F	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC	CN(C(=NC(C)(C)C)N(C)C)C	c1ccc(cc1)CN(c1ccno1)Cc1ccccc1	Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0 12 15 19 39 40	50	c1ccc(cc1)CN(c1ccno1)Cc1ccccc1.FC(c1ccc(cc1)I)(F)F.CN(C(=NC(C)(C)C)N(C)C)C.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC>>Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0.3818576353000001
22	Cc1ccc(cc1)N	Brc1cccnc1	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC	CN(C(=NC(C)(C)C)N(C)C)C	CCOC(=O)c1ccon1	Cc1ccc(cc1)Nc1cccnc1	0 12 19 20 21 23	50	CN(C(=NC(C)(C)C)N(C)C)C.Brc1cccnc1.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC.CCOC(=O)c1ccon1>>Cc1ccc(cc1)Nc1cccnc1	0.597949718
23	Cc1ccc(cc1)N	CCc1ccc(cc1)Cl	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CN(C(=NC(C)(C)C)N(C)C)C	COC(=O)c1noc(c1)c1ccco1	CCc1ccc(cc1)Nc1ccc(cc1)C	0 10 18 19 31 35	50	CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.Cc1ccc(cc1)N.COC(=O)c1noc(c1)c1ccco1.CCc1ccc(cc1)Cl>>CCc1ccc(cc1)Nc1ccc(cc1)C	0.00638545637
24	Cc1ccc(cc1)N	Brc1ccccn1	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	COC(=O)c1ccno1	Cc1ccc(cc1)Nc1ccccn1	0 3 5 6 7 9	50	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.Brc1ccccn1.Cc1ccc(cc1)N.COC(=O)c1ccno1.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>Cc1ccc(cc1)Nc1ccccn1	0.0980291595
25	Cc1ccc(cc1)N	COc1ccc(cc1)I	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	c1ccc(cc1)CN(c1ccno1)Cc1ccccc1	COc1ccc(cc1)Nc1ccc(cc1)C	0 2 3 17 40 41	50	c1ccc(cc1)CN(c1ccno1)Cc1ccccc1.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.COc1ccc(cc1)I.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>COc1ccc(cc1)Nc1ccc(cc1)C	0.3320741805
26	Cc1ccc(cc1)N	Brc1ccccn1	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CN(C(=NC(C)(C)C)N(C)C)C	Cc1ccno1	Cc1ccc(cc1)Nc1ccccn1	0 2 5 6 19 42	50	CN(C(=NC(C)(C)C)N(C)C)C.Cc1ccno1.Brc1ccccn1.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC>>Cc1ccc(cc1)Nc1ccccn1	0.3745572206
27	Cc1ccc(cc1)N	Ic1ccccn1	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C	CN(C(=NC(C)(C)C)N(C)C)C	Cc1ccon1	Cc1ccc(cc1)Nc1ccccn1	0 5 9 19 24 25	50	CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.Cc1ccon1.Ic1ccccn1.Cc1ccc(cc1)N>>Cc1ccc(cc1)Nc1ccccn1	0.6346127974
28	Cc1ccc(cc1)N	Ic1ccccn1	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	CCOC(=O)c1onc(c1)C	Cc1ccc(cc1)Nc1ccccn1	0 3 5 9 24 43	50	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.Ic1ccccn1.Cc1ccc(cc1)N.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C.CCOC(=O)c1onc(c1)C>>Cc1ccc(cc1)Nc1ccccn1	0.5110248957
29	Cc1ccc(cc1)N	Ic1cccnc1	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C	CN(C(=NC(C)(C)C)N(C)C)C	CCOC(=O)c1onc(c1)OC	Cc1ccc(cc1)Nc1cccnc1	0 9 19 23 36 38	50	CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.Ic1cccnc1.Cc1ccc(cc1)N.CCOC(=O)c1onc(c1)OC>>Cc1ccc(cc1)Nc1cccnc1	0.2722195897
30	Cc1ccc(cc1)N	FC(c1ccc(cc1)Br)(F)F	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CN1CCCN2C1=NCCC2	CCOC(=O)c1ccon1	Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0 13 15 18 20 44	50	FC(c1ccc(cc1)Br)(F)F.CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.CN1CCCN2C1=NCCC2.Cc1ccc(cc1)N.CCOC(=O)c1ccon1>>Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0.4009723236999999
31	Cc1ccc(cc1)N	Brc1ccccn1	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CN(C(=NC(C)(C)C)N(C)C)C	COC(=O)c1noc(c1)c1ccco1	Cc1ccc(cc1)Nc1ccccn1	0 5 6 18 19 35	50	CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.Brc1ccccn1.Cc1ccc(cc1)N.COC(=O)c1noc(c1)c1ccco1>>Cc1ccc(cc1)Nc1ccccn1	0.7109717455000001
32	Cc1ccc(cc1)N	FC(c1ccc(cc1)Cl)(F)F	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	CCOC(=O)c1noc(c1)C	Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0 2 3 11 15 45	50	FC(c1ccc(cc1)Cl)(F)F.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C.CCOC(=O)c1noc(c1)C>>Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0.0776496419999999
33	Cc1ccc(cc1)N	FC(c1ccc(cc1)I)(F)F	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CN(C(=NC(C)(C)C)N(C)C)C	c1ccc(cc1)CN(c1nocc1)Cc1ccccc1	Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0 2 15 19 34 39	50	c1ccc(cc1)CN(c1nocc1)Cc1ccccc1.FC(c1ccc(cc1)I)(F)F.CN(C(=NC(C)(C)C)N(C)C)C.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC>>Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0.3790012178
34	Cc1ccc(cc1)N	Brc1cccnc1	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	Fc1cccc(c1c1ccno1)F	Cc1ccc(cc1)Nc1cccnc1	0 3 18 21 23 29	50	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.Fc1cccc(c1c1ccno1)F.Brc1cccnc1.Cc1ccc(cc1)N.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>Cc1ccc(cc1)Nc1cccnc1	0.2241656552
35	Cc1ccc(cc1)N	COc1ccc(cc1)I	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CN(C(=NC(C)(C)C)N(C)C)C	c1ccc(cc1)c1nocc1	COc1ccc(cc1)Nc1ccc(cc1)C	0 2 17 19 30 41	50	c1ccc(cc1)c1nocc1.CN(C(=NC(C)(C)C)N(C)C)C.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.COc1ccc(cc1)I>>COc1ccc(cc1)Nc1ccc(cc1)C	0.5139664392000001
36	Cc1ccc(cc1)N	COc1ccc(cc1)Cl	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CN(C(=NC(C)(C)C)N(C)C)C	c1ccc2c(c1)noc2	COc1ccc(cc1)Nc1ccc(cc1)C	0 16 17 18 19 46	50	c1ccc2c(c1)noc2.CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.Cc1ccc(cc1)N.COc1ccc(cc1)Cl>>COc1ccc(cc1)Nc1ccc(cc1)C	0.0
