	One Hot Encoding	Number of Compounds	Yield
62	0 3 5 18 24 27	50	0.4008669181
63	0 12 13 15 32 39	50	0.4515638688000001
64	0 10 13 18 26 46	50	0.2459821074
65	0 3 12 16 17 33	50	0.0
66	0 3 7 8 10 12	50	0.16978386069999998
67	0 3 17 18 41 43	50	0.49111432060000004
68	0 2 19 23 28 48	50	0.023447134249999998
69	0 2 15 19 44 45	50	0.4167771463
70	0 9 19 20 23 36	50	0.384179882
71	0 15 18 19 25 39	50	0.5237811419
72	0 2 8 10 13 38	50	0.7502467082
73	0 9 17 19 34 41	50	0.4946765787
74	0 2 3 5 6 40	50	0.3712306374
75	0 3 5 18 22 24	50	0.3072459608
76	0 3 11 12 15 22	50	0.11301332119999999
77	0 12 13 15 29 39	50	0.4331119655
78	0 8 10 13 18 45	50	0.7944483194999999
79	0 2 16 17 19 27	50	0.0
80	0 5 6 12 19 48	50	0.518134607
81	0 3 17 18 37 40	50	0.09627089409
82	0 12 13 17 37 43	50	0.46649948490000004
83	0 3 8 10 12 33	50	0.6913688603
84	0 3 18 23 36 38	50	0.7462339173999999
85	0 17 18 19 41 46	50	0.149053934
86	0 2 10 19 26 30	50	0.7385492194
87	0 9 10 13 26 43	50	0.3587055638
88	0 2 8 10 19 47	50	0.6143731020000001
89	0 5 18 19 24 46	50	0.5429333472
90	0 3 8 10 18 30	50	0.7000785114
91	0 5 6 12 19 42	50	0.5797448070000001
92	0 2 8 10 13 34	50	0.7284784990000001
93	0 2 13 15 44 47	50	0.374061745
94	0 10 12 13 31 47	50	0.09293896224
95	0 2 4 15 19 39	50	0.3484480888
96	0 2 3 15 20 44	50	0.0
97	0 12 17 19 41 46	50	0.1530703648
98	0 2 5 6 19 34	50	0.414297554
99	0 15 18 19 42 44	50	0.3225917309
100	0 2 10 19 26 48	50	0.2929795514
101	0 12 13 17 37 42	50	0.3546998729
102	0 2 10 13 25 26	50	0.8068492947999999
103	0 12 13 17 27 41	50	0.3605750203
104	0 2 13 15 25 44	50	0.49153721990000004
105	0 4 9 13 15 44	50	0.250144043
106	0 2 15 19 39 49	50	0.30772238420000003
107	0 2 3 8 10 38	50	0.6997034068000001
108	0 3 7 9 23 36	50	0.08546147234
109	0 1 5 9 13 27	50	0.1569796379
110	0 2 15 19 44 49	50	0.1931180946
111	0 9 17 19 37 42	50	0.09043513945
112	0 2 5 13 24 49	50	0.8080959568000001
113	0 2 13 17 34 41	50	0.6824812709999999
114	0 8 10 13 18 33	50	0.6871737558
115	0 4 5 13 18 24	50	0.8365366274999999
116	0 3 12 14 15 44	50	0.059923205270000016
117	0 10 13 18 26 45	50	0.7880108905000001
118	0 9 15 19 39 40	50	0.3201377764
119	0 11 13 15 18 43	50	0.07782359234
120	0 3 11 12 15 33	50	0.01222906926
121	0 11 12 15 19 49	50	0.16100270760000002
122	0 16 17 18 19 22	50	0.0
123	0 7 9 10 19 31	50	0.0
124	0 9 15 19 22 39	50	0.19551543489999998
125	0 1 5 12 19 29	50	0.3257727167
126	0 3 9 15 29 39	50	0.15921639099999998
127	0 9 13 17 37 46	50	0.0
128	0 2 3 4 11 15	50	0.01831351486
129	0 12 15 19 39 45	50	0.475989822
130	0 2 10 13 25 31	50	0.00968826586
131	0 12 17 19 41 49	50	0.1820662132
132	0 10 13 18 31 33	50	0.03864236463
133	0 2 14 15 19 39	50	0.01896181594
134	0 12 13 23 28 32	50	0.01957264533
135	0 9 19 20 23 28	50	0.1167138777
136	0 8 10 18 19 47	50	0.5948668549
137	0 2 3 17 27 41	50	0.1672117045
138	0 2 10 13 22 31	50	0.009547452420000001
139	0 3 5 6 9 14	50	0.0
140	0 5 9 13 24 30	50	0.6362909921000001
141	0 3 14 18 23 28	50	0.01309393322
142	0 10 12 19 26 27	50	0.3654381967
143	0 7 18 19 23 36	50	0.4989638876
144	0 3 9 10 31 48	50	0.07802080337
145	0 1 3 5 9 45	50	0.2261165831
146	0 2 3 20 21 23	50	0.0
147	0 3 10 12 26 48	50	0.19473789739999997
148	0 4 9 19 23 36	50	0.3592744664
149	0 13 18 23 28 32	50	0.07182520972
150	0 3 18 21 22 23	50	0.2137540077
151	0 10 12 13 26 40	50	0.6286856054
152	0 2 3 5 6 34	50	0.7595426954000001
153	0 3 12 17 29 41	50	0.1472607829
154	0 8 10 12 13 40	50	0.72345187
155	0 10 12 13 14 26	50	0.3087951231
156	0 2 13 21 23 46	50	0.1439054676
157	0 12 15 19 39 42	50	0.3559381518
158	0 3 5 12 24 42	50	0.3975657581
159	0 3 9 10 31 32	50	0.00566845941
160	0 7 12 13 21 23	50	0.4552509107
161	0 9 13 22 23 36	50	0.267561311
162	0 3 12 16 17 35	50	0.0
163	0 9 15 19 34 39	50	0.4294679968
164	0 3 10 12 14 26	50	0.1359760256
165	0 3 12 16 17 22	50	0.0103540736
166	0 3 9 10 25 26	50	0.6427233548
167	0 12 19 23 28 46	50	0.0
168	0 10 13 18 26 34	50	0.6907936453000001
169	0 8 9 10 13 30	50	0.5895423439
170	0 2 10 13 31 46	50	0.0
171	0 2 11 13 15 29	50	0.07949590254
172	0 3 9 17 37 43	50	0.2929817829
173	0 2 8 10 13 30	50	0.8263071562000001
174	0 1 5 12 19 35	50	0.5272286451
175	0 2 13 15 40 44	50	0.3160555467
176	0 8 10 12 19 34	50	0.6651493361999999
177	0 2 13 21 23 42	50	0.7968761126
178	0 9 13 17 32 37	50	0.04191040534
179	0 3 9 15 39 40	50	0.08373801377000001
180	0 2 3 11 15 42	50	0.019182484240000002
181	0 2 11 15 19 42	50	0.03399446883999998
182	0 4 9 15 19 44	50	0.3036311877
183	0 4 5 9 13 24	50	0.5839892185
184	0 1 3 4 5 12	50	0.7353944548000001
185	0 10 12 19 22 31	50	0.0
186	0 3 18 23 28 48	50	0.1054082024
187	0 12 13 17 25 41	50	0.4357558027
188	0 16 17 18 19 33	50	0.00719285108
189	0 2 4 5 19 24	50	0.46387494119999995
190	0 5 9 13 24 38	50	0.6253548833
191	0 8 9 10 19 42	50	0.2815132537
192	0 3 9 16 17 45	50	0.00948128865
193	0 3 7 9 17 41	50	0.04471163192
194	0 2 7 17 19 41	50	0.2402218457
195	0 3 12 23 28 45	50	0.04497312079
196	0 2 3 16 17 45	50	0.00230274449
197	0 2 3 16 17 35	50	0.0
198	0 14 18 19 21 23	50	0.023984077700000002
199	0 3 5 6 9 46	50	0.1117697809
200	0 3 12 17 22 41	50	0.1946778248
201	0 3 8 10 12 29	50	0.2650151753
202	0 9 11 13 14 15	50	0.16820182820000001
203	0 2 13 15 35 39	50	0.4021154517
204	0 3 9 21 23 47	50	0.2497274403
205	0 8 9 10 19 29	50	0.13022434670000002
206	0 3 12 21 23 25	50	0.00955483806
207	0 4 9 16 17 19	50	0.005424974920000001
208	0 5 12 19 24 35	50	0.6180067802
209	0 2 15 19 34 44	50	0.3594447354
210	0 3 11 12 15 48	50	0.07372693174
211	0 1 3 5 12 20	50	0.01660025621
212	0 3 10 18 26 43	50	0.7086219062000001
213	0 2 5 6 19 33	50	0.4128086675
214	0 11 15 18 19 22	50	0.007474117719999999
215	0 2 13 17 41 45	50	0.5501223205
216	0 4 9 17 19 37	50	0.1409805788
217	0 12 13 16 17 25	50	0.00354218547
218	0 9 15 19 39 46	50	0.2370536277
219	0 10 12 13 20 26	50	0.798902752
220	0 3 10 12 29 31	50	0.12281653880000001
221	0 2 11 15 19 43	50	0.02256359852
222	0 13 18 23 28 29	50	0.33506150760000003
223	0 2 10 13 22 26	50	0.4335191306
224	0 10 12 19 31 40	50	0.06312401383999999
225	0 18 19 23 36 47	50	0.6265745672
226	0 2 19 21 23 34	50	0.6049224443
227	0 2 15 19 25 44	50	0.4592980056
228	0 4 8 10 12 19	50	0.6519833527000001
229	0 2 10 13 26 47	50	0.6984952945999999
230	0 1 4 5 18 19	50	0.5784627264000001
231	0 10 12 13 31 49	50	0.1345243807
232	0 2 3 5 24 35	50	0.7226820117
233	0 2 13 15 32 44	50	0.2567305216
234	0 12 19 21 23 30	50	0.7837132703
235	0 12 13 17 34 41	50	0.6594429183
236	0 2 10 13 26 42	50	0.6671317285
237	0 17 18 19 32 37	50	0.3713655068
238	0 9 11 13 15 35	50	0.05982836529
239	0 11 12 15 19 29	50	0.0274121661
240	0 3 9 11 15 30	50	0.02968869757
241	0 9 11 13 15 47	50	0.1939344332
242	0 5 6 18 19 25	50	0.8844485055
243	0 3 5 6 12 49	50	0.6356506276
244	0 9 13 23 28 34	50	0.0765708472
245	0 10 12 19 26 48	50	0.2779577337
246	0 12 19 23 25 36	50	0.8333821323999999
247	0 11 12 15 19 33	50	0.1370204119
248	0 12 16 17 19 25	50	0.0
249	0 2 17 19 22 37	50	0.01520182439
250	0 10 12 13 25 26	50	0.7945834404000001
251	0 5 6 12 13 22	50	0.5070720640999999
252	0 5 18 19 24 43	50	0.8514465221999999
253	0 10 12 13 26 34	50	0.7421032846
254	0 4 5 12 19 24	50	0.6559087383000001
255	0 2 17 19 37 48	50	0.1582179421
256	0 5 9 13 24 32	50	0.5256128921000001
257	0 2 4 10 13 31	50	0.01542228309
258	0 3 9 15 32 44	50	0.15721696
259	0 2 4 13 23 28	50	0.1183956232
260	0 3 10 18 29 31	50	0.07108204477
261	0 13 18 23 25 28	50	0.3083522639
262	0 3 4 15 18 39	50	0.3951659226000001
263	0 1 5 12 13 46	50	0.2181045338
264	0 3 5 12 24 29	50	0.3232915323
265	0 2 11 13 15 49	50	0.1585078385
266	0 12 17 19 30 37	50	0.4082349272
267	0 3 17 18 34 37	50	0.6592742303999999
268	0 2 10 13 31 49	50	0.01753987647
269	0 3 11 15 18 27	50	0.1456538038
270	0 5 12 19 24 43	50	0.8420189779
271	0 2 3 15 44 49	50	0.14261259240000002
272	0 7 12 17 19 37	50	0.04728362295
273	0 2 8 10 19 43	50	0.7871189795999999
274	0 9 19 21 22 23	50	0.00929191796
275	0 13 18 23 30 36	50	0.9342111456
276	0 3 9 17 37 48	50	0.06119058475
277	0 3 10 12 26 42	50	0.1446737016
278	0 2 11 15 19 25	50	0.09328786222999999
279	0 12 13 23 34 36	50	0.8560572483
280	0 2 5 6 13 32	50	0.5742667045000001
281	0 9 19 22 23 28	50	0.01445871909
282	0 1 5 9 19 22	50	0.1000194934
283	0 10 13 18 26 32	50	0.6958481273
284	0 15 18 19 32 39	50	0.37377944189999995
285	0 3 10 18 31 43	50	0.00705225291
286	0 9 16 17 19 32	50	0.0
287	0 1 5 9 13 33	50	0.2536847762
288	0 2 3 5 24 43	50	0.6628326385
289	0 2 3 10 26 35	50	0.4734816594
290	0 3 9 16 17 35	50	0.0
291	0 11 12 15 19 20	50	0.1509367159
292	0 9 10 19 31 34	50	0.06262930072
293	0 12 13 17 33 37	50	0.4619860459
294	0 3 7 18 23 28	50	0.08194090633000001
295	0 1 2 5 13 29	50	0.2955686861
296	0 3 17 18 38 41	50	0.4031193463
297	0 7 9 16 17 19	50	0.0
298	0 10 12 19 31 42	50	0.05479660726
299	0 12 19 21 23 34	50	0.5947851607
300	0 5 13 18 24 25	50	0.9151096876
301	0 3 18 23 28 43	50	0.06110691586
302	0 12 13 14 23 28	50	0.2890716664
303	0 18 19 23 36 43	50	0.8213737482000001
304	0 3 5 18 24 42	50	0.4027887601
305	0 10 13 18 31 45	50	0.04582095156
306	0 2 3 17 22 41	50	0.1435852859
307	0 12 13 15 44 47	50	0.3820471013
308	0 2 15 19 39 45	50	0.4387448476
309	0 3 7 9 10 31	50	0.0690640733
310	0 2 3 8 10 30	50	0.7907623710999999
311	0 9 16 17 19 35	50	0.0
312	0 12 13 15 39 46	50	0.3214841463
313	0 2 8 10 13 49	50	0.6858213231000001
314	0 5 6 9 19 29	50	0.2444251918
315	0 10 13 18 26 27	50	0.7987241595000001
316	0 13 17 18 37 49	50	0.3125713511
317	0 2 3 11 15 35	50	0.012525053329999999
318	0 18 19 23 36 40	50	0.6045904469
319	0 2 16 17 19 49	50	0.0
320	0 1 2 5 13 46	50	0.1355922704
321	0 2 5 6 19 43	50	0.5168395023
322	0 12 15 19 33 44	50	0.3708529427
323	0 4 5 6 9 19	50	0.4349187499
324	0 3 9 23 28 30	50	0.2053476821
325	0 7 9 15 19 39	50	0.2635991815
326	0 13 18 21 23 49	50	0.7623035085
327	0 2 13 15 20 44	50	0.3837909694
328	0 3 9 14 16 17	50	0.0
329	0 9 11 15 19 38	50	0.1542545497
330	0 18 19 23 25 28	50	0.30758172
331	0 3 9 10 26 45	50	0.5399699311
332	0 2 10 19 31 33	50	0.008170667679999999
333	0 10 12 13 20 31	50	0.07228003443
334	0 9 15 19 20 39	50	0.34897679909999996
335	0 9 15 19 29 39	50	0.2545694196
336	0 7 9 10 13 31	50	0.03462173057
337	0 13 17 18 34 37	50	0.6626538653
338	0 3 10 12 31 49	50	0.09228754169
339	0 12 17 19 38 41	50	0.42126072719999996
340	0 2 5 6 19 22	50	0.06168096918
341	0 13 17 18 25 41	50	0.4893807733
342	0 4 15 18 19 44	50	0.3477458228
343	0 5 6 9 13 32	50	0.4598390905
344	0 2 10 13 31 32	50	0.00553317014
345	0 3 10 12 26 30	50	0.7022907456
346	0 5 6 9 13 29	50	0.287617291
347	0 1 5 13 18 35	50	0.8464975431999999
348	0 7 10 12 13 26	50	0.32023043129999995
349	0 3 5 18 24 47	50	0.6344404456
350	0 3 9 23 36 38	50	0.522237426
351	0 1 5 9 13 34	50	0.2719452945
352	0 2 8 10 19 22	50	0.2785496925
353	0 3 9 15 29 44	50	0.1508609068
354	0 10 12 19 26 29	50	0.2496800216
355	0 9 13 15 30 44	50	0.4007198822
356	0 2 7 8 10 19	50	0.392434395
357	0 3 9 10 26 33	50	0.6998737297
358	0 18 19 23 28 47	50	0.36301283030000003
359	0 3 8 9 10 20	50	0.0
360	0 7 9 17 19 37	50	0.0066506423100000005
361	0 2 10 13 31 34	50	0.02579355469
362	0 2 16 17 19 22	50	0.0
363	0 2 3 14 17 37	50	0.004890447720000001
364	0 3 9 17 37 42	50	0.04215754471
365	0 5 18 19 24 29	50	0.5918255708
366	0 13 18 23 33 36	50	0.7825299309999999
367	0 17 18 19 37 40	50	0.05935933533
368	0 3 9 10 27 31	50	0.08323184663
369	0 12 16 17 19 29	50	0.00328567973
370	0 13 17 18 29 41	50	0.4790925553000001
371	0 3 4 18 23 36	50	0.7829631742000001
372	0 8 10 18 19 27	50	0.7778682066
373	0 9 14 19 21 23	50	0.0
374	0 2 5 6 13 47	50	0.8077035612000001
375	0 1 3 5 18 45	50	0.5683280355
376	0 11 15 18 19 49	50	0.1875584418
377	0 9 13 15 44 48	50	0.3028625472
378	0 10 13 18 31 40	50	0.042827146399999995
379	0 9 13 15 38 44	50	0.2246669781
380	0 3 11 15 18 47	50	0.3059884697
381	0 3 14 18 23 36	50	0.04416019864
382	0 9 16 17 19 47	50	0.020691427749999998
383	0 3 9 23 28 32	50	0.03037744154
384	0 1 5 18 19 29	50	0.5699401843999999
385	0 15 18 19 44 48	50	0.4129698409000001
386	0 9 17 19 30 41	50	0.28371874340000003
387	0 2 3 5 24 45	50	0.7616070518000001
388	0 9 13 21 23 30	50	0.319937252
389	0 2 3 8 10 32	50	0.6183593039
390	0 8 9 10 13 20	50	0.5086354716
391	0 10 13 18 31 32	50	0.007454308609999998
392	0 13 18 21 23 33	50	0.7673725946000001
393	0 13 18 23 28 40	50	0.1267223423
394	0 13 17 18 33 41	50	0.4440779423
395	0 3 10 18 31 42	50	0.02889330361
396	0 3 17 18 40 41	50	0.1109901507
397	0 9 13 23 28 47	50	0.0771156711
398	0 3 4 9 11 15	50	0.1846507819
399	0 2 13 23 28 30	50	0.4158551371
400	0 3 10 12 22 26	50	0.23739441690000002
401	0 15 18 19 39 40	50	0.34910394330000005
402	0 9 10 13 26 47	50	0.28743532190000004
403	0 3 9 17 20 41	50	0.0
404	0 2 11 13 15 46	50	0.0029915360100000003
405	0 2 3 10 26 45	50	0.7413888356
406	0 2 13 21 23 30	50	0.9512897845
407	0 10 18 19 31 33	50	0.033736240560000005
408	0 2 17 19 22 41	50	0.16006714589999999
409	0 13 18 23 27 36	50	0.9302887198
410	0 2 3 11 15 34	50	0.04618730656
411	0 9 10 19 31 35	50	0.0072962294
412	0 3 9 16 17 34	50	0.1003471889
413	0 3 12 14 17 37	50	0.0326158183
414	0 12 13 15 43 44	50	0.4044190447
415	0 3 9 15 25 44	50	0.09302544665
416	0 2 5 13 24 42	50	0.9031730943
417	0 9 11 15 19 47	50	0.1941980511
418	0 3 10 14 18 26	50	0.05425616594
419	0 2 3 10 31 45	50	0.007376310780000002
420	0 3 9 23 29 36	50	0.1279205877
421	0 2 10 13 31 48	50	0.02173414859
422	0 10 18 19 31 47	50	0.03311093961
423	0 3 12 15 22 39	50	0.1211048821
424	0 2 16 17 19 46	50	0.0
425	0 9 14 19 23 28	50	0.0
426	0 3 12 15 44 46	50	0.11656260269999999
427	0 12 13 21 23 29	50	0.5599062735
428	0 3 12 17 27 37	50	0.1112595571
429	0 12 15 19 39 47	50	0.36425056100000003
430	0 2 3 5 6 35	50	0.6401092118
431	0 9 10 19 31 47	50	0.05821778044000001
432	0 2 11 13 15 40	50	0.050717409850000006
433	0 2 13 14 23 28	50	0.1837316337
434	0 1 5 9 13 49	50	0.16580425519999994
435	0 2 3 15 44 46	50	0.05105134806
436	0 11 12 15 19 22	50	0.00927604534
437	0 3 12 15 38 39	50	0.34796072920000004
438	0 5 6 9 19 45	50	0.5121654271
439	0 8 10 12 13 46	50	0.7316269955
440	0 8 9 10 13 40	50	0.04972241085
441	0 1 5 9 19 46	50	0.04510171982
442	0 2 15 19 43 44	50	0.32386357930000004
443	0 10 18 19 26 47	50	0.5774229286
444	0 3 17 18 20 41	50	0.0297427716
445	0 2 10 13 26 35	50	0.3951845686
446	0 9 11 13 15 20	50	0.18147905130000005
447	0 7 13 17 18 41	50	0.4255967392
448	0 2 8 10 19 32	50	0.5787416713
449	0 2 10 19 26 46	50	0.04677881799
450	0 10 13 14 18 31	50	0.1432160153
451	0 15 18 19 27 44	50	0.47024270890000003
452	0 1 5 9 19 40	50	0.1503293541
453	0 3 12 23 28 49	50	0.3610795647
454	0 9 13 15 25 44	50	0.44038448609999997
455	0 3 17 18 41 47	50	0.4444212826
456	0 8 10 13 18 22	50	0.6150169320000001
457	0 2 10 13 14 26	50	0.3037188127
458	0 2 8 10 19 27	50	0.6748065191000001
459	0 1 5 18 19 38	50	0.6113755675
460	0 3 18 21 23 47	50	0.6874074216
461	0 2 11 15 19 33	50	0.08178111662000001
462	0 9 19 23 28 34	50	0.10876038710000001
463	0 5 13 18 20 24	50	0.8851390693000001
464	0 2 19 23 28 49	50	0.09396462800000001
465	0 3 4 12 23 36	50	0.7014574928
466	0 13 17 18 35 37	50	0.4771503964
467	0 2 15 19 22 39	50	0.1398397961
468	0 17 18 19 41 49	50	0.1592909866
469	0 2 13 17 29 37	50	0.2695590806
470	0 2 5 6 13 34	50	0.8565923046999999
471	0 2 10 19 31 48	50	0.0057693321999999995
472	0 3 10 12 31 42	50	0.02658633939
473	0 3 9 17 33 37	50	0.3912148383
474	0 2 10 13 31 38	50	0.00665471445
475	0 1 5 13 18 42	50	0.7307610721000001
476	0 7 18 19 23 28	50	0.034969709290000005
477	0 2 15 19 25 39	50	0.5224472601
478	0 3 12 15 39 42	50	0.021061436290000003
479	0 1 3 5 12 40	50	0.4114460565000001
480	0 3 10 18 25 26	50	0.7531115449000001
481	0 3 10 18 26 46	50	0.14628299109999998
482	0 17 18 19 20 41	50	0.40651155310000003
483	0 2 13 15 42 44	50	0.2947262424
484	0 10 18 19 26 27	50	0.732728017
485	0 2 11 15 19 49	50	0.05195732957
486	0 2 3 15 25 44	50	0.12616966959999998
487	0 9 13 17 40 41	50	0.0
488	0 4 11 12 13 15	50	0.142414228
489	0 5 6 12 19 38	50	0.5660877307
490	0 10 13 18 26 42	50	0.6826027768
491	0 11 13 15 18 49	50	0.2917558441
492	0 18 19 23 36 48	50	0.86003404
493	0 2 3 16 17 49	50	0.00538585368
494	0 3 8 9 10 42	50	0.1840781284
495	0 2 3 23 27 36	50	0.6857486470999999
496	0 3 10 18 31 35	50	0.0064911054200000005
497	0 2 19 23 25 36	50	0.9073131654000001
498	0 3 14 17 18 41	50	0.038768297230000005
499	0 3 17 18 22 37	50	0.14856992630000002
500	0 10 18 19 26 38	50	0.5733300234
501	0 3 5 6 18 48	50	0.36306360649999997
502	0 3 9 14 15 39	50	0.0
503	0 9 10 13 26 33	50	0.2583582864
504	0 3 16 17 18 20	50	0.0
505	0 3 8 9 10 45	50	0.5737548977
506	0 10 12 13 26 27	50	0.5290774845
507	0 3 15 18 25 44	50	0.4794242943
508	0 9 13 21 23 47	50	0.25620520539999997
509	0 8 9 10 19 48	50	0.25073658600000004
510	0 3 7 12 17 37	50	0.09492103343000001
511	0 9 16 17 19 48	50	0.00456472494
512	0 1 5 13 18 34	50	0.8481458604000001
513	0 1 5 12 13 30	50	0.8612188157999999
514	0 3 12 22 23 36	50	0.1813660134
515	0 3 5 14 18 24	50	0.1003634536
516	0 2 3 11 14 15	50	0.006983186850000001
517	0 12 16 17 19 49	50	0.0
518	0 9 13 16 17 30	50	0.00844427684
519	0 9 10 19 26 33	50	0.251224442
520	0 12 19 21 23 29	50	0.42130028399999997
521	0 2 3 17 33 37	50	0.4207740888
522	0 3 4 12 15 44	50	0.1965092582
523	0 3 18 21 23 40	50	0.1848421566
524	0 2 13 14 21 23	50	0.2782910373
525	0 3 9 10 26 40	50	0.1402250347
526	0 8 10 18 19 35	50	0.5993143231
527	0 2 10 13 26 27	50	0.49404909810000003
528	0 1 5 13 18 33	50	0.8251131881
529	0 3 9 10 26 49	50	0.2587549138
530	0 5 6 12 19 27	50	0.5546040564
531	0 3 12 17 41 46	50	0.1544371593
532	0 1 5 12 13 14	50	0.4001187418
533	0 1 2 5 13 33	50	0.7298033012
534	0 1 2 5 13 20	50	0.8303295526000001
535	0 1 3 5 18 47	50	0.5337807808
536	0 9 13 23 28 32	50	0.0335256921
537	0 18 19 21 23 40	50	0.4172955132
538	0 3 5 12 24 45	50	0.7313965752999999
539	0 5 6 9 13 14	50	0.1185200713
540	0 10 13 18 26 49	50	0.6264758393000001
541	0 2 3 5 24 42	50	0.2705720868
542	0 9 11 13 15 29	50	0.1318136791
543	0 9 11 13 15 48	50	0.1496739578
544	0 9 13 23 28 42	50	0.06968929302
545	0 3 10 18 31 45	50	0.03420166341
546	0 8 9 10 13 43	50	0.6884449524999999
547	0 3 10 18 26 32	50	0.6369608905999999
548	0 3 5 6 9 22	50	0.1858444117
549	0 8 10 12 13 27	50	0.8329437838
550	0 1 3 5 12 27	50	0.2370056273
551	0 1 5 18 19 32	50	0.6607394644
552	0 2 3 7 16 17	50	0.0
553	0 12 13 23 28 47	50	0.2170039266
554	0 3 9 16 17 20	50	0.0
555	0 2 3 17 41 48	50	0.16857023489999998
556	0 13 16 17 18 32	50	0.00381599662
557	0 2 11 15 19 34	50	0.1916223306
558	0 4 12 13 21 23	50	0.8607412603
559	0 7 9 19 21 23	50	0.02546576237
560	0 9 17 19 41 46	50	0.01742923089
561	0 2 10 13 26 43	50	0.5785208433
562	0 2 7 15 19 39	50	0.1853801466
563	0 13 18 21 23 38	50	0.7951166554000001
564	0 2 13 23 36 40	50	0.6735182955000001
565	0 9 15 19 44 49	50	0.2222290277
566	0 12 15 19 38 39	50	0.37626240759999996
567	0 13 14 18 21 23	50	0.3011566658
568	0 12 13 21 23 49	50	0.8000019125
569	0 2 5 6 13 49	50	0.6775052852000001
570	0 2 13 21 23 43	50	0.8653541708
571	0 3 12 21 23 30	50	0.048092159100000004
572	0 8 10 13 18 43	50	0.8489551287
573	0 1 5 13 18 49	50	0.7739811795
574	0 2 3 17 34 41	50	0.6601585423999999
575	0 5 12 19 24 29	50	0.6137532466
576	0 5 6 9 13 35	50	0.49963765159999995
577	0 12 13 23 27 28	50	0.2994942755
578	0 9 10 14 19 31	50	0.0
579	0 17 18 19 41 45	50	0.4387183311
580	0 2 5 13 24 35	50	0.8794083651000001
581	0 9 17 19 37 38	50	0.116535106
582	0 9 13 15 35 39	50	0.34033615700000003
583	0 5 6 18 19 43	50	0.8308846167
584	0 3 17 18 25 37	50	0.4557576479
585	0 17 18 19 37 49	50	0.13251457249999998
586	0 9 13 15 25 39	50	0.4742870408
587	0 2 3 4 15 44	50	0.09025273637
588	0 9 17 19 37 46	50	0.0
589	0 11 13 14 15 18	50	0.2136830036
590	0 3 5 6 9 33	50	0.2318775097
591	0 3 9 15 27 39	50	0.150343232
592	0 14 18 19 23 28	50	0.0
593	0 3 5 6 14 18	50	0.0484059533
594	0 9 14 19 23 36	50	0.00027450906
595	0 13 16 17 18 25	50	0.0097555089
596	0 9 10 13 26 29	50	0.09241578450999999
