SM_1,SM_2,Product,Ligand,Base,Solvent,Yield
O=S(=O)(C(F)(F)F)Oc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,[O-]C(=O)O.[Na+],C1CCCO1,0.8096
Clc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC#N,0.6805
Brc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,NA,[F-].[Cs+],CC#N,0.0987
OB(c1ccc2c(c1)cccn2)O,Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CCCCP(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,[K+].[OH-],CO,0.7970999999999999
Brc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC1(C)c2cccc(c2Oc2c1cccc2P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,[Na+].[OH-],O=CN(C)C,0.065
OB(c1ccc2c(c1)cccn2)O,Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,[K+].[OH-],O=CN(C)C,0.561
Ic1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,c1ccc(cc1)P(c1ccccc1)c1ccccc1,[O-]C(C)(C)C.[Li+],C1CCCO1,0.9471
Ic1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(P(C(C)(C)C)C(C)(C)C)(C)C,[O-]C(=O)O.[Na+],C1CCCO1,0.9558
F[B-](c1ccc2c(c1)cccn2)(F)F.[K+],Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,c1ccc(cc1)P(c1ccccc1)c1ccccc1,[F-].[Cs+],C1CCCO1,0.3956
Brc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,[O-]C(C)(C)C.[Li+],CO,0.5845
Brc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,c1ccc(cc1)P(c1ccccc1)c1ccccc1,[O-]C(C)(C)C.[Li+],CO,0.929
CC1(C)OB(OC1(C)C)c1ccc2c(c1)cccn2,Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,[O-]C(=O)O.[Na+],O=CN(C)C,0.4453
O=S(=O)(C(F)(F)F)Oc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.[Fe+2],NA,O=CN(C)C,0.4821
Clc1ccc2c(c1)cccn2,Cc1ccc2c(c1[B-](F)(F)F)cnn2C1CCCCO1.[K+],CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CN(c1ccc(cc1)P(C(C)(C)C)C(C)(C)C)C,[O-]C(=O)O.[Na+],CO,0.1478
Brc1ccc2c(c1)cccn2,Cc1ccc2c(c1[B-](F)(F)F)cnn2C1CCCCO1.[K+],CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,c1ccc(cc1)P(c1ccccc1)C1=C[CH-]C=C1.c1ccc(cc1)P(c1ccccc1)C1=C[CH-]C=C1.[Fe+2],NA,O=CN(C)C,0.2214
OB(c1ccc2c(c1)cccn2)O,Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.[Fe+2],[O-]C(C)(C)C.[Li+],C1CCCO1,0.0
Brc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC1(C)c2cccc(c2Oc2c1cccc2P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,NA,C1CCCO1,0.0836
Ic1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,COc1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC,[K+].[OH-],CO,0.8781
Brc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,c1ccc(cc1)P(c1ccccc1)C1=C[CH-]C=C1.c1ccc(cc1)P(c1ccccc1)C1=C[CH-]C=C1.[Fe+2],[O-]C(=O)O.[Na+],C1CCCO1,0.16899999999999998
Clc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,COc1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC,[F-].[Cs+],C1CCCO1,0.4659
Clc1ccc2c(c1)cccn2,Cc1ccc2c(c1[B-](F)(F)F)cnn2C1CCCCO1.[K+],CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC1(C)c2cccc(c2Oc2c1cccc2P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,[F-].[Cs+],O=CN(C)C,0.1809
Clc1ccc2c(c1)cccn2,Cc1ccc2c(c1[B-](F)(F)F)cnn2C1CCCCO1.[K+],CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CCCCP(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,NA,CO,0.2469
Clc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,NA,[Na+].[OH-],C1CCCO1,0.1704
OB(c1ccc2c(c1)cccn2)O,Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.[Fe+2],[O-]C(=O)O.[Na+],CO,0.31370000000000003
Brc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,[Na+].[OH-],CC#N,0.7598
O=S(=O)(C(F)(F)F)Oc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(P(C(C)(C)C)C(C)(C)C)(C)C,NA,CC#N,0.7474
CC1(C)OB(OC1(C)C)c1ccc2c(c1)cccn2,Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.[Fe+2],[O-]P(=O)([O-])[O-].[K+].[K+].[K+],O=CN(C)C,0.4721
O=S(=O)(C(F)(F)F)Oc1ccc2c(c1)cccn2,Cc1ccc2c(c1[B-](F)(F)F)cnn2C1CCCCO1.[K+],CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,[F-].[Cs+],O=CN(C)C,0.1365
Clc1ccc2c(c1)cccn2,Cc1ccc2c(c1[B-](F)(F)F)cnn2C1CCCCO1.[K+],CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,c1ccc(cc1)P(c1ccccc1)c1ccccc1,[K+].[OH-],O=CN(C)C,0.1887
O=S(=O)(C(F)(F)F)Oc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,NA,CCN(CC)CC,C1CCCO1,0.4327
Brc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,NA,CO,0.5254
Clc1ccc2c(c1)cccn2,Cc1ccc2c(c1[B-](F)(F)F)cnn2C1CCCCO1.[K+],CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,c1ccc(cc1)P(c1ccccc1)C1=C[CH-]C=C1.c1ccc(cc1)P(c1ccccc1)C1=C[CH-]C=C1.[Fe+2],[O-]P(=O)([O-])[O-].[K+].[K+].[K+],O=CN(C)C,0.242
Clc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC1(C)c2cccc(c2Oc2c1cccc2P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,CCN(CC)CC,C1CCCO1,0.0364
OB(c1ccc2c(c1)cccn2)O,Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC1(C)c2cccc(c2Oc2c1cccc2P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,[Na+].[OH-],CC#N,0.0
Clc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,[F-].[Cs+],O=CN(C)C,0.0596
Ic1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC1(C)c2cccc(c2Oc2c1cccc2P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,[F-].[Cs+],CO,0.3232
OB(c1ccc2c(c1)cccn2)O,Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.[Fe+2],[Na+].[OH-],CO,0.474
O=S(=O)(C(F)(F)F)Oc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC#N,0.4426
Ic1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(P(C(C)(C)C)C(C)(C)C)(C)C,[O-]C(=O)O.[Na+],C1CCCO1,0.8382
Brc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,COc1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC,NA,CO,0.36200000000000004
Brc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,[O-]C(=O)O.[Na+],CO,0.4707
Ic1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,COc1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC,[O-]C(=O)O.[Na+],C1CCCO1,0.604
Brc1ccc2c(c1)cccn2,Cc1ccc2c(c1[B-](F)(F)F)cnn2C1CCCCO1.[K+],CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CCCCP(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],O=CN(C)C,0.1534
F[B-](c1ccc2c(c1)cccn2)(F)F.[K+],Cc1ccc2c(c1Br)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC1(C)c2cccc(c2Oc2c1cccc2P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC#N,0.0
Brc1ccc2c(c1)cccn2,Cc1ccc2c(c1[B-](F)(F)F)cnn2C1CCCCO1.[K+],CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,[Na+].[OH-],CO,0.5126
Clc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,COc1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC#N,0.5334
O=S(=O)(C(F)(F)F)Oc1ccc2c(c1)cccn2,Cc1ccc2c(c1B1OC(C(O1)(C)C)(C)C)cnn2C1CCCCO1,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.CC(P(C(C)(C)C)C1=C[CH-]C=C1)(C)C.[Fe+2],[O-]C(C)(C)C.[Li+],CC#N,0.5104
O=S(=O)(C(F)(F)F)Oc1ccc2c(c1)cccn2,OB(c1c(C)ccc2c1cnn2C1CCCCO1)O,CC1=CC=C2C(C=NN2C3OCCCC3)=C1C4=CC=C5C(C=CC=N5)=C4,c1ccc(cc1)P(c1ccccc1)C1=C[CH-]C=C1.c1ccc(cc1)P(c1ccccc1)C1=C[CH-]C=C1.[Fe+2],[K+].[OH-],CC#N,0.8692
